ind_Latn,sun_Latn
"Pada 1890, Maria menikah pada usia 18 tahun dengan seorang guru SD di Manado yang bernama Yoseph Frederik Calusung Walanda.","Dina taun 1890, Maria rarabi dina umur 18 taun ka guru sakola dasar di Manado jenenganana Yoseph Frederik Calusung Walanda."
"Sejak itu, Maria yang lebih dikenal dengan nama Maria Walanda Maramis mulai merintis cita-citanya memajukan kaum wanita.","Ti saprak éta, Maria, leuwih dipikawanoh salaku Maria Walanda Maramis anu geus naratas impianana ngamajukeun kaum wanoja."
"Setelah resmi menikah, Maria tinggal di Manado ikut dengan suaminya.","Sanggeus rarabi, Maria cicing di Manado nurut ka salakina."
"Ia mulai menyampaikan isi pikirannya melalui tulisan yang disebar di surat kabar Tjahaja Siang, pionir media cetak di Sulawesi Utara.","Anjeunna mimiti ngébréhkeun eusi pipikiranana ngaliwatan tulisan anu dimuat dina koran Tjahaja Siang, pelopor média cetak di Sulawesi Utara."
Tulisannya banyak memaparkan tentang kaum wanita harus berpendidikan lebih baik sehingga bisa berperan menjadi istri sekaligus ibu yang lebih baik untuk keluarga.,Tulisanana ngajéntr keun ngeunaan penting atikan keur wanoja sangkan jadipamajikan sjeungindung anu llinuhung keur kulawarga.
"Pada tanggal 8 Juli 1917, saat usia Maria 45 tahun dan rekan-rekannya mendirikan organisasi yang bernama Percintaan Ibu Kepada Anak Temurunnya (PIKAT).","Tanggal 8 Juli 1917, waktu Maria umur 45 taun jeung babaturanana ngadegkeun organisasi anu disebut Percintaan Ibu Kepada Anak Temurunnya (PIKAT)."
Pada awalnya PIKAT hanya forum saling berbagi dan mendiskusikan berbagai persoalan pendidikan anak.,Mimitina PIKAT ukur forum babagi informasi jeung masalah pendidikan barudak.
Namun seiring berjalannya waktu timbul gagasan dari Maria untuk mengubah misi dan tujuan PIKAT menjadi wadah memajukan kaum wanita di Minahasa.,Ngan aya angen-angen ti Maria sangkan ngarobah misi jeung tujuan PIKAT jadi forum anu ngamajukeun kaum wanoja di Minahasa .
"Setelah itu, PIKAT berkembang pesat dan mempunyai banyak cabang hingga ke daerah Kalimantan dan Jawa.","Sanggeus kitu, PIKAT gancang mekar jeung miboga loba cabang nepi ka Kalimantan jeung Jawa ."
PIKAT mendirikan sekolah anak-anak perempuan yang diberi namna Huishound School Pikat dan tidak dipungut biaya.,PIKAT ngadegkeun sakola gratis keur barudak wanoja anu disebut Huishound School Pikat.
Maria juga membuka Sekolah Kejuruan Putri berikut asramanya. Peran Maria dalam emansipasi wanita semakin krusial ketika memperjuangkan suara perempuan agar didengar di parlemen.,Maria ogé muka Sakola Vokasional keur wanoja jeung asramana. Jasa Maria dina émansipasi wanoja beuki penting pisan waktu merjuangkeun kapentingan wanoja di parlemén .
"Pada 1919, sebuah parlemen lokal dibentuk dan diberi namaMinahasa Raad.","Dina 1919, parlemén lokal dibentuk jeung dingaranan Minahasa Raad ."
"Pada awalnya, hanya pria yang memiliki hak suara untuk memilih para wakil rakyat.",Mimitina mah ngan lalaki anu boga hak sora keur milih wakil-wakil masarakat .
Maria berupaya agar kaum perempuan memiliki hak untuk memberikan suara pada pemilihan calon anggota dewan.,Maria narékahan sangkan wanoja miboga hak milih dina pamilihan calon anggota déwan.
"Usahanya berhasil, kaum perempuan dapat dipilih menjadi anggota pada berbagai badan perwakilan rakyat, termasuk Minahasa Raad, Locale Raad, dan Gemeentse Raad.","Usahana hasil, wanoja bisa dipilih jadi anggota sababaraha badan perwakilan masarakat, kaasup Minahasa Raad, Locale Raad, jeung Gemeentse Raad ."
Virus mungkin ditularkan melalui kontak melalui darah atau cairan tubuh hewan yang terinfeksi (biasanya monyet atau kelelawar). Penyebaran lewat udara belum pernah tercatat dalam lingkungan alami. Kelelawar buah diyakini dapat membawa dan menyebarkan virus tanpa terjangkit.,Sasaladna bisa ditépakeun ngaliwatan getih atawa késang sato anu kakeunaan (biasana monyét atawa kalong). Népakeun ngaliwatan hawa mah can kungsi kajadian di lingkungan anu alami. Dipercaya yén kalong buah bisa mawa jeung nyumebarkeun sasalad tanpa kakeunaan.
"Begitu terjadi infeksi pada manusia, penyakit ini dapat menyebar pada orang lain di sekitar.","Sakalina inféksi ka manusa, bisa tépa ka jalma lian anu aya disabudeureunana."
Pria yang selamat dari penyakit ini dapat menularkannya lewat sperma selama hampir dua bulan.,Lalaki anu salamet tina panyakit bisa népakeun ngaliwatan spérma salila ampir dua bulan.
"Pada proses diagnosis, biasanya penyakit lain dengan gejala serupa, seperti malaria, kolera dan demam berdarah virus lainnya harus dikecualikan terlebih dahulu.","Dina prosés diagnosis, biasana panyakit anu lian kalayan gejala anu sarua, saperti malaria, koléra jeung demam berdarah virusna kudu dikaluarkeun heula."
"Untuk memastikan diagnosis, sampel darah diuji untuk antibodi virus, RNA virus, atau virus itu sendiri.","Pikeun mastikeun diagnosis, sampel getih kudu diuji antibodi virus, RNA virus, atawa virus éta sorangan."
Pencegahan penularan ebola meliputi upaya mengurangi penyebaran penyakit dari monyet dan babi yang terinfeksi ke manusia.,Tarékah ngurangan tépana ieu virus bisa dimimitan ku cara ngajauhan monyét jeung babi anu kainféksi ka manusa.
"Hal ini dapat dilakukan dengan memeriksa hewan tersebut terhadap infeksi, serta membunuh dan membuang hewan yang terpapar virus ebola.","Ieu bisa dilakukeun ku cara mariksa sato anu kainféksi, maéhan jeung miceun sato naon waé anu kakeunaan virus Ebola."
"Memasak daging dengan benar dan mengenakan pakaian pelindung ketika mengolah daging juga mungkin berguna, Penggunaan pakaian pelindung dan mencuci tangan ketika berada di sekitar orang yang menderita penyakit ebola merupakan pencegahan penyebaran dari sesama manusia.","Pasak daging nepi ka asak jeung gunakeun pakéan keur nyalindungan waktu ngolah daging. Lian ti éta, saméméh atawa sanggeus kontak jeung jalma anu keuna ku ébola kudu ngolah bisa ku cara ngumbah leungeun heula."
Sampel cairan dan jaringan tubuh dari penderita penyakit harus ditangani dengan sangat hati-hati.,Sampel cacai jeung jaringan ti jalma anu miboga panyakit kudu diurus kalayan ati-ati pisan.
"Belum ada pengobatan khusus untuk penyakit ini, upaya untuk membantu orang yang terjangkit meliputi pemberian terapi rehidrasi oral (air yang sedikit manis dan asin untuk diminum) atau cairan intravena. Penyakit ini memiliki tingkat kematian yang tinggi: sering kali menewaskan antara 50% hingga 90% orang yang terinfeksi virus. EVD pertama kali diidentifikasi di Sudan dan Republik Demokratik Kongo.","Teu aya cara husus keur ngokolakeun ieu panyakit, usaha mantuan jalma-jalma anu katépaan kaasup méré terapi réhidrasi oral (cai anu rada amis jeung cai asin anu diinum) atawa cacai intravena. Ieu panyakit miboga tingkat poténsi tilar dunya anu luhur, malah poténsina nepi ka 50% - 90%. EVD mimiti dipikawanoh di Sudan jeung Républik Démokratik Kongo."
"Penyakit ini biasanya mewabah di wilayah tropis Afrika Sub-Sahara. Sejak tahun 1976 (ketika pertama kali diidentifikasi) hingga 2013, kurang dari 1.000 orang per tahun telah terinfeksi. Wabah terbesar hingga saat ini adalah wabah Ebola Afrika Barat 2014 yang sedang terjadi, dan melanda Guyana, Sierra Leone, Liberia dan kemungkinan Nigeria. Hingga bulan Agustus 2014, lebih dari 1600 kasus telah diidentifikasi. Upaya sedang dilakukan untuk mengembangkan vaksin, namun belum membuahkan hasil.","Panggedéna angka anu katépaan Ebola di Afrika Kulon 2014 anu mangaruhan Guyana, Sierra Leone, Liberia jeung Nigeria . Ti Agustus 2014, leuwih ti 1600 kasus geus diidéntifikasi. Tarékah terus dilakukeun nepi ka ayeuna keur ngembangkeun vaksin, tapi masih can ngahasilkeun bongbolongan."
Penyakit virus ebola (EVD) atau demam berdarah Ebola (EHF) adalah penyakit pada manusia yang disebabkan oleh virus Ebola.,Panyakit virus ébola ( EVD ) atawa demam berdarah ébola ( EHF ) nyaéta panyakit anu dialaman ku manusa jeung disababkeun ku sasalad ébola .
"Masa inkubasi biasanya dimulai dua hari hingga tiga minggu setelah terjangkit virus, dengan adanya demam, sakit tenggorokan, nyeri otot, dan sakit kepala.","Mangsa inkubasi mimiti ieu virus biasana dua poé nepi ka tilu minggu. Gejala anu karasa nyaéta muriang, nyeri tikoro, nyeri otot jeung nyeri sirah."
"Gejala ini biasanya diikuti dengan mual, muntah, dan diare, serta menurunnya fungsi liver dan ginjal.","Ieu gejala biasana dibarengan ku seueul, utah, diaré, jeung turunna fungsi haté jeung ginjal."
"Pada kondisi tersebut, orang yang terpapar virus Ebola mulai mengalami masalah pendarahan.","Dina kaayaan ieu, jalma anu kakeunaan virus Ebola mimiti ngalaman bijilna getih dina organ awak."
Tanda-tanda dan gejalanya,Gejala
Masa inkubasi antara 2 sampai 21 hari. Paling sering antara 4 sampai 10 hari. Walaupun begitu ada 5 persen masa inkubasi yang mencapai lebih dari 21 hari.,"Mangsa inkubasi ieu sasalad antara 2 nepi ka 21 poé. Seseringna mah antara 4 nepi ka 10 poé. Sanajan kitu, aya 5 persén périodeu inkubasi anu ngahontal waktu leuwih ti 21 poé."
"Gejalanya biasanya dimulai dengan influenza yang tiba-tiba dimana penderita merasa lemas, demam, lemah (weakness), tidak suka makan (anorexia), nyri otot (myalgia), nyeri sendi (arthralgia), sakit kepala, dan sakit tenggorokan. Demam biasanya lebih tinggi dari 38,3 °C (100,9 °F). Sering diikuti muntah-muntah, mencret-mencret (diarrhea) dan sakit perut bagian atas dan bawah. Kemudian, nafas menjadi pendek, dada sakit, juga pembekakan (edema), dan kesadaran berkurang (confusion). Sekitar separuh kasus, penderita mengalami 'maculopapular rash' pada kulit yang terjadi 5 sampai 7 hari, setelah gejala pertama terjadi.","Gejala ébola biasana dimimitian ku influenza dadakan anu nyababkeun pasién leuleus, muriang, lesu, hésé barangdahar (anorexia), nyeri otot (myalgia), nyeri sendi (arthralgia), nyeri sirah jeung nyeri tikoro. Demamna biasana nepi ka . Gejalana dibarengan ku utah, diaré jeung nyeri beuteung bagian luhur jeung handap."
"Pada beberapa kasus, pendarahan dalam dan luar dapat saja terjadi, 5 sampai 7 hari, setelah gejala pertama terjadi. Semua penderita yang terinfeksi menderita kesulitan pembekuan darah. Pendarahan dari selaput mulut, hidung dan tenggorokan serta dari bekas lubang suntikan terjadi pada 40-50 persen kasus. Hal ini menyebabkan muntah darah, batuk darah dan berak darah. Pendarahan pada kulit menyebabkan petechiae, purpura, ecchymoses or hematomas (terutama sekitar tempat injeksi). Mata menjadi merah karena pendarahan dapat juga terjadi.","Dina sababaraha kasus, bisa ogé kajadian perdarahan internal jeung éksternal ti mimiti 5 nepi ka 7 poé. Sakabéh pasién pasti ngalaman pembekuan getih. Pendarahan tina lapisan baham, irung jeung tikoro anu lumangsung dina 40-50 persén kasus."
"Pendarahan berat jarang terjadi, dan jika terjadi biasanya terlokalisasi di saluran pencernaan.","Ieu kajadian nyababkeun utah getih, batuk getih jeung diséntri. Pendarahan dina kulit nyababkeun petechiae, purpura, ecchymoses atawa hematomas (utamana di sabudeureun anu keuna suntikan). Panon jadi beureum jeung di saluran pencernaan ."
"Kesembuhan (recovery) mulai terjadi antara 7 sampai 14 hari, setelah gejala pertama terjadi. Kematian, jika ini terjadi, biasanya antara 6 sampai 16 hari, setelah gejala pertama terjadi, dan sering kali, karena 'syok' tekanan darah rendah akibat akibat kekurangan cairan. Pada umumnya, pendarahan sering kali menunjukkan hal yang buruk, kehilangan darah dapat menyebabkan kematian. Seringkali penderita mengalami koma, sebelum kematiannya. Penderita yang selamat sering kali mengalami sakit otot dan sendi secara terus menerus, pembengkakan hati, berkuangnya pendengaran, dan mungkin mengalami hal-hal sebagai berikut: merasa capai, lemas berkelanjutan, berkurangnya nafsu makan, dan kesulitan mencapai berat semula sebelum sakit. Antibodi terbentuk untuk sekurangnya 10 tahun, tetapi belum jelas apakah penderita yang selamat akan kebal terhadap infeksi berulang. Dan sesesorang yang telah sembuh tidak akan menyebarkan penyakit lagi.","Leungitna ieu sasalad biasana antara 6 nepi ka 16 poé, di satengahing éta biasana ngalaman heula loba kareuwas, tekenan getih handap anu disababkeun ku kurangna cacai dina awak. Parnana, pasién saméméh tilar dunya téh pasti wé ngalaman koma. Anu salamet ogé mindeng ngalaman nyeri otot, nyeri sendi, haté ngabareuhan, kurang dadanguan, capé, leuleus, turun gairah aktivitas, jeung beurat awak beuki lila beuki turun jeung hésé balik deui ka awal."
Wakalah dalam hukum Islam adalah pelimpahan kekuasaan oleh seseorang sebagai pihak pertama kepada orang lain sebagai pihak kedua dalam hal-hal yang diwakilkan.,Wakalah dina hukum Islam mangrupikeun delegasi kakuatan ku hiji jalma salaku pihak anu kahiji ka anu sanés salaku pihak kadua dina hal-hal anu diwakilan.
"Wakalah dalam bahasa Arab berarti menolong, memelihara, mendelegasikan, atau menjadi wakil yang bertindak atas nama orang yang diwakilinya.","Wakalah dina basa Arab hartosna ngabantosan, ngajaga, ngadelegasikan, atanapi janten wawakil anu barang gawé ngawakilan jalma anu diwakilanna."
"Secara istilah, wakalah berarti tolong menolong antar-pribadi dalam suatu persoalan ketika seseorang tidak mampu secara hukum atau mempunyai halangan untuk melakukannya.","Numutkeun istilah, wakalah hartosna silih bantos antar jelma dina hiji perkara nalika batur teu sanggup sacara hukum atanapi ngagaduhan halangan pikeun migawéna."
"Objek yag diwakilkan itu dapat menyangkut masalah harta benda dan masalah pribadi lainnya, seperti nikah.","Objek anu diwakilkeun téh aya nu patali jeung masalah harta banda atanapi perkara pribadi nu sanesna, saumpamana nikah."
Defenisi,Patokan
"Ada beberapa definisi wakalah menurut ulama fikih, antara lain:","Aya sababaraha patokan ngeunaan wakalah numutkeun ajengan ahli fikih, diantarana:"
"Mazhab Hanafi, wakalah adalah pendelegasian suatu tindakan hukum kepada orang lain yang bertindak sebagai wakil.","Madzhab Hanafi, wakalah mangrupikeun padamelan hukum kalawan ngawakilkeun perkara ka batur anu janten wakil."
"Mazhab Syafii, wakalah adalah pendelegasian hak kepada seseorang dalam hal-hal yang dapat diwakilkan kepada orang lain selama ia hidup.","Madzhab Shafii, wakalah mangrupikeun delegasi hak ka hiji jalma dina perkara anu tiasa diwakilan ku batur salami anjeunna masih hirup."
Definisi 'selama ia hidup' jadi pembeda antara wakalah dengan wasiat.,Harti tina 'salami anjeunna masih hirup' jadi ciri pikeun ngabédakeun antara wakalah sareng wasiat.
"Dalil tentang kebolehan akad wakalah dalam Islam terdapat dalam Alquran dan hadis, antara lain:","Dalil ngeunaan wios atanapi ulahna wakalah dina islam sayogi dina Alquran sareng hadis, nyaéta:"
"Surat Al-Kahfi ayat 19, artinya, ""Maka suruhlah salah seorang di antara kamu pergi ke kota membawa uang perakmu ini dan hendaklah dia melihat manakah makanan yang lebih baik, maka hendaklah ia membawa makanan itu untukmu.""","Surat Al-Kahfi ayat 19, anu hartosna, "" Maka pek béjakeun ka salah sahiji ti aranjeun ka kota pikeun nyandak artos pérak anjeun sareng pék anjeunna sina ningali katuangan anu mana anu langkung saé, pék anjeunna nyandak tuangeun éta pikeun anjeun. """
"Surat An-Nisa ayat 35, artinya ""Maka suruhlah juru damai (hakam) dari keluarga laki-laki dan seorang juru damai (hakam) dari keluarga perempuan....""","Surat An-Nisa ayat 35, anu hartosna "" Teras kirimkeun tukang nyieun perdamaian (hakam) ti kulawarga lalaki sareng tukang perdamaian (hakam) ti kulawarga awéwé éta. . . . """
Hadis tentang Rasulullah mengutus seorang pemungut zakat untuk memungut zakat (HR Bukhari dan Muslim).,Hadist ngeunaan Rosulullah ngintun kolektor zakat pikeun ngumpulkeun zakat ( Bukhari sareng Muslim ).
Hadis penunjukan Amr bin Umayya Ad-Damiri sebagai wakilnya dalam menerima nikah Ummu Habibah binti Abu Sufyan (HR Abu Dawud).,Hadits nunjuk Amr bin Umayya Ad-Damiri salaku wawakilna dina nampi kasauran Ummu Habibah binti Abu Sufyan (HR Abu Dawud ).
"Hippokrates, Plutarkhos, Xenophon, Epimarcus, Virgil, Horatius, dan Ovidius adalah orang-orang yang pernah menyinggung karakteristik rabies dalam tulisan-tulisannya. Celsius, seorang dokter pada zaman Romawi, mengasosiasikan hidrofobia (ketakutan terhadap air) dengan gigitan anjing pada tahun 100 Masehi. Cardanus, seorang penulis zaman Romawi menjelaskan infektivitas air liur anjing yang terkena rabies. Para penulis Romawi zaman itu mendeskripsikan materi infeksius tersebut sebagai racun, di mana ""virus"" adalah kata Latin bagi racun.","Hippokrates, Plutarkhos, Xenophon, Epimarcus, Virgil, Horatius, sareng Ovidius minangka jalma-jalma anu nyebatkeun karakteristik rabiés dina tulisanana. Celsius, dokter di jaman Romawi, ngahubungkeun hidrofobia (sieun ku cai) jeung digégél anjing dina taun 100 Maséhi. Cardanus, panulis Romawi, ngajelaskeun katépaan ciduh anjing jeung rabies."
Rabies atau penyakit anjing gila adalah penyakit infeksi akut pada sistem saraf mamalia (termasuk manusia) yang disebabkan oleh virus rabies.,Rabiés atawa panyakit anjing gila mangrupa panyakit inféksi parna tina sistem saraf mamalia (kaasup manusa ) anu disababkeun ku virus rabiés .
Penyakit ini sangat mematikan dan bersifat zoonotik atau menular dari hewan ke manusia.,Ieu panyakit kacida ngabahayakeunana jeung miboga sipat zoonotic atawa bisa ditépakeun ti sato ka manusa .
"Penularan terjadi akibat partikel virus yang berada dalam air liur hewan terinfeksi berhasil masuk ke dalam tubuh manusia atau hewan peka, misalnya melalui gigitan.",Transmisi lumangsung waktu partikel virus dina ciduh sato anu katerap rabié asup kana awak manusa atawa kana sato galak anu sipatna sénsitip. Contona bisa tépa ngaliwata gégélan.
"Hewan yang menularkan rabies di antaranya anjing, kucing, kera, rakun, dan kelelawar. Lebih dari 99% kematian manusia akibat rabies disebabkan oleh gigitan anjing.","Sato anu bisa népakeun panyakit rabiés di antatanya anjing, kucing, monyét, rakun jeung kalong .Leuwih ti 99% anu pupus ku rabiés disababkeun ku gégélan anjing ."
"Kata rabies berasal dari bahasa Sanskerta kuno ""rabhas"" yang artinya melakukan kekerasan atau kejahatan. Dalam bahasa Yunani, rabies disebut ""lyssa"" atau ""lytaa"" yang artinya kegilaan. Dalam bahasa Jerman, rabies disebut ""tollwut"" yang berasal dari bahasa Indo-Jermanik ""dhvar"" yang artinya merusak dan ""wut"" yang artinya marah. Dalam bahasa Prancis, rabies disebut ""rage"" berasal dari kata benda ""robere"" yang artinya menjadi gila.","Kecap rabiés asalna tina basa Sansankerta Buhun ""rabhas"" nu hartina ngalakukeun kajahatan atawa hal-hal anu patali jeung hukum. Dina basa Yunani, rabiés disebut "" lyssa "" atawa "" lytaa "" anu hartina édan. Dina basa Jérman, rabies disebut "" tollwut "" anu asalna tina basa Indo-Jermanik "" dhvar "" anu hartina ngarusak jeung "" wut "" anu hartina ambek."
Rabies bukanlah penyakit baru dalam sejarah perabadan manusia.,Rabiés lain panyakit anyar dina sajarah peradaban manusa.
"Catatan tertulis mengenai perilaku anjing yang tiba-tiba menjadi buas ditemukan pada Kode Mesopotamia yang ditulis 4000 tahun lalu serta pada Kode Babilonia Eshunna yang ditulis sekitar tahun 2300 SM. Sekitar 500 SM, Demokritos juga menuliskan karakteristik gejala penyakit yang menyerupai rabies.","Catetan tinulis ngeunaan tingkah laku anjing nu jadi pibahayaeun kapanggih aya dina Kodeu Mesopotamia ditulis 4000 taun kalarung ogé dina Kode Babul Eshunna anu ditulis taun 2300 SM. Kira-kira 500 SM, Demokritos ogé nulis ciri-ciri gejala panyakit anu méh sarua jeung rabiés."
Sejarah,Sajarah
Penyebab,Faktor
Meningitis sering kali disebabkan oleh infeksi oleh mikroorganisme.,Méningitis mindeng disababkeun ku inféksi mikroorganisme.
"Sebagian besar infeksi disebabkan oleh virus, dengan bakteri, fungi, dan protozoa sebagai penyebab paling sering berikutnya. Penyakit ini bisa juga disebabkan oleh berbagai penyebab non-infeksi Istilah meningitis aseptik merujuk pada kasus meningitis yang tidak dapat dibuktikan adanya keterlibatan infeksi bakteri.","Lolobaba inféksi disababkeun ku virus, baktéri, supa jeung protozoa anu mangrupa faktor tambahan. Teu nutup kamungkinan ieu panyakit disababkeun ku faktor non-inféksi. Istilah méningitis aséptik tujul kana kasus meningitis anu disababkeun inféksi baktéri."
"Jenis meningitis ini biasanya disebabkan oleh virus, tetapi keadaan ini dapat juga terjadi apabila infeksi bakteri telah diobati secara parsial sebelumnya, ketika bakteri lenyap dari meninges, atau patogen menginfeksi daerah yang dekat dengan meningen (misalnya sinusitis).","Ieu jenis méningitis biasana disababkeun ku virus, tapi éta ogé bisa mangrupa inféksi baktéri waktu geus diubaran sacara parsial, ngaleungit tina meningés, atawa patogén parantos ngainféksi daérah caket meningén (misal sinusitis)."
Endokarditis (infeksi katup jantung yang menyebarkan gugus-gugus kecil bakteri melalui aliran darah) dapat menyebabkan meningitis aseptik.,Endokarditis (inféksi katup jajantung anu nyebarkeun sakumpulan baktéri leutik ngaliwatan aliran getih) bisa nyababkeun méningitis aséptik.
"Meningitis aseptik juga dapat timbul dari infeksi spirochete, jenis bakteri yang diantaranya Treponema pallidum (penyebab sifilis) dan Borrelia burgdorferi (dikenal sebagai penyebab penyakit Lyme).","Méningitis aséptik ogé bisa timbul tina inféksi jeung spirochete, wanda baktéri anu kaasup kana Treponema pallidum (anu nyababkeun sipilis) jeung Borrelia burgdorferi (anu nyababkeun panyakit Lyme )."
"Meningitis dapat dijumpai pada malaria serebral (malaria yang menginfeksi otak) atau meningitis amubik, meningitis yang disebabkan oleh infeksi ameba sepertiNaegleria fowleri, yang didapatkan dari sumber air tawar.","Méningitis bisa kapanggih dina panyakit malaria uteuk (malaria anu nginféksi otak) atawa méningitis amubik anu disababkeun ku inféksi amoeba saperti Naegleria fowleri, anu dibawa tina sumber cai sapooé."
"Meningitis atau radang selaput otak adalah radang pada membran yang menyelubungi otak dan sumsum tulang belakang, yang secara kesatuan disebut meningen. Radang dapat disebabkan oleh infeksi oleh virus, bakteri, atau juga mikroorganisme lain, dan walaupun jarang dapat disebabkan oleh obat tertentu. Meningitis dapat menyebabkan kematian karena radang yang terjadi di otak dan sumsum tulang belakang; sehingga kondisi ini diklasifikasikan sebagai kedaruratan medis.","Méningitis atawa radang lapisan uteuk nyaéta radang mémbran anu nutupan uteuk jeung sumsum tulang tonggong anu sacara koléktif disebut meningén. Radanng anu karasa bisa disababkeun ku inféksi virus, baktéri, mikroorganismeu, jeung pagaruh obat-obatan anu tangtu. Méningitis bisa nyababkeun tilar dunya alatan radang anu lumangsung dina uteuk jeung sumsum tulang tonggong téh kaasup kaayaan darurat médis ."
"Gejala umum dari meningitis adalah sakit kepala dan leher kaku disertai oleh demam, kebingungan atau perubahan kesadaran, muntah, dan kepekaan terhadap cahaya (fotofobia) atau suara keras (fonofobia).","Gejala méningitis anu umum nyaéta nyeri sirah jeung beuheung kaku dibarengan muriang, kabingungan atanawa turunnakasadaran, utah, sénsitip kana cahaya (photophobia) jeung sora anu tarik ( phonophobia)."
"Anak-anak biasanya hanya menunjukkan gejala nonspesifik, seperti lekas marah dan mengantuk.","Barudak anu kaleunaan biasana ukur nuduhkeun gejala anu teu spésifik, saperti gancang ambek jeung ngaleyuh waé tunduh."
"Adanya ruam merah dapat memberikan petunjuk penyebab dari meningitis; contohnya, meningitis yang disebabkan oleh bakteri meningokokus dapat ditunjukkan oleh adanya ruam merah.",Ciri lianna ayana barentus atawa ruam beureum nu disababkeun ku baktéri meningokokus.
Tindakan punksi lumbal dilakukan untuk mendiagnosa ada tidaknya meningitis.,Tindakan punksi lumbal dilakukeun pikeun ngadiagnosa aya henteuna méningitis.
"Jarum dimasukkan ke dalam kanalis spinalis untuk mengambil sampel likuor serebrospinalis (LCS), yang menyelubungi otak dan sumsum tulang belakang.","Jarum disuntikkeun kana kanal tulang tonggong keur nyokot cacai liquor serebrospinalis (LCS), anu nutupan uteuk jeung sumsum tulang tonggong."
LCS diperiksa di laboratorium medis. Penanganan pertama pada meningitis akut terdiri dari pemberian secara tepat berbagai antibiotik dan kadang-kadang obat antivirus.,LCS dipariksa di laboratorium médis. Tahap ngubaran anu munggaran keur panyakit méningitis nyaéta gancang méré antibiotik jeung obat antivirus .
"Kortikosteroid juga dapat digunakan untuk mencegah terjadinya komplikasi karena radang yang berlebihan. Meningitis dapat mengakibatkan konsekuensi jangka panjang seperti ketulian, epilepsi, hidrosefalus dan defisit kognitif, terutama bila tidak dirawat dengan cepat. Beberapa jenis meningitis (misalnya yang berhubungan dengan meningokokus, Haemophilus influenzae type B,pneumokokus atau infeksi virus mumps) dapat dicegah oleh imunisasi.","Kortikosteroid ogé bisa dipaké keur ngungkulan komplikasi kusabab radang anu kaleuleuwihi. Méningitis bisa miboga balukar dina jangka waktu anu lila saperti pireu, épilépsi, hidrokusphus, défisit kognitif lamun henteu gancang dirawat. Sababaraha wanda méningitis (misal anu patali jeungmeningokoki, Haemophilus influenzae tipe B, pneumokokus atawa inféksi virus mumps) bisa dicega ku imunisasi."
Pencegahan,Ngungkulan
"Untuk beberapa kasus meningitis, perlindungan jangka panjang dapat dilakukan dengan pemberian vaksinasi, atau jangka pendek dengan penggunaan antibiotik. Beberapa perubahan perilaku dapat juga efektif.","Keur sababaraha kasus méningitis, panyalindungan jangka panjangna bisa ngagunakeun vaksinasi atawa jangka pondokna bisa ngagunakeun antibiotik ."
Perilaku,Paripolah
"Meningitis bakteri dan virus bersifat menular; namun, keduanya tidak semenular selesma atau flu. Keduanya bisa ditularkan melalui droplet dari sekret pernapasan selama kontak dekat seperti ciuman, bersin atau batuk, tetapi tidak bisa disebarkan hanya dengan menghirup udara di mana seorang penderita meningitis berada. Meningitis virus biasanya disebabkan oleh enterovirus, dan paling sering disebarkan melalui kontaminasi tinja. Risiko infeksi bisa diturunkan dengan mengubah perilaku yang menyebabkan penularan.","Duanana bisa tatalépa sékrési anu ngeclak waktu kontak jeung nu kakeunaan saperti nyabak, nyium, batuk, tapi henteu bisa tatalépa ku nyingreup hawa deukeut jalma anu méningitis. Meningitis virus biasana disababkeun ku enterovirus anu sumebar ngaliwatan kontaminasi tinja. Résiko inféksi bisa dikurangan ku cara ngarobah paripolah anu ngajauhan tatalépna."
"Sejak tahun 1980an, banyak negara sudah memasukkan imunisasi terhadap Haemophilus influenzae B dalam program vaksinasi rutin anak.","Ti saprak 1980-an, loba nagara geus ngalaksanakeun imunisasi keur ngalawan Haemophilus influenzae B dina program vaksinasi keur barudak leutik anu rutin."
Hal ini secara praktis telah menghilangkan patogen jenis ini sebagai penyebab meningitis pada anak di negara-negara tersebut.,Vaksinasi sacara praktis bisa ngaleungitkeun wanda patogén anu nyababkeun méningitis barudak leutik di sababaraha nagara.
"Di negara dengan angka penyakit yang tertinggi, harga vaksin tersebut masih terlalu mahal. Demikian juga, imunisasi terhadap penyakit mumps telah menyebabkan penurunan bermakna jumlah kasus meningitis mumps, yang sebelum vaksinasi terjadi pada 15% dari semua kasus mumps.","Di nagara-nagara anu tingkat panyakitna luhur, ieu vaksin kaasup mahal teuing. Kitu ogé, imunisasi ngalawan panyakit mumps geus ngurangan jumlah kasus méningitis mumps, anu saacan vaksinasi kajadian 15% tina sakabéh kasus méningitis mumps."
